CustomerID,idade,sexo,tempo_como_cliente,frequencia_uso,ligacoes_callcenter,dias_atraso,assinatura,duracao_contrato,total_gasto,meses_ultima_interacao,cancelou
349936.0,23.0,Male,13.0,22.0,2.0,1.0,Standard,Annual,909.58,23.0,0.0
100634.0,49.0,Male,55.0,16.0,3.0,6.0,Premium,Monthly,207.0,29.0,1.0
301263.0,30.0,Male,7.0,1.0,0.0,8.0,Basic,Annual,768.78,7.0,0.0
119358.0,26.0,Male,40.0,5.0,3.0,8.0,Premium,Annual,398.0,12.0,1.0
130955.0,27.0,Female,17.0,30.0,5.0,6.0,Basic,Annual,507.0,15.0,1.0
423992.0,30.0,Male,,12.0,3.0,7.0,Standard,Quarterly,641.78,7.0,0.0
345190.0,49.0,Male,6.0,7.0,0.0,0.0,Standard,Annual,751.0,11.0,0.0
405747.0,33.0,Male,15.0,18.0,1.0,20.0,Standard,Annual,839.71,25.0,0.0
298708.0,19.0,Female,59.0,19.0,1.0,4.0,Basic,Quarterly,543.93,7.0,0.0
269544.0,27.0,Female,1.0,13.0,0.0,11.0,Premium,Annual,621.67,6.0,0.0
38724.0,47.0,Male,24.0,6.0,0.0,5.0,Premium,Monthly,752.0,28.0,1.0
131874.0,43.0,Male,46.0,20.0,6.0,7.0,Standard,Annual,549.0,19.0,1.0
298643.0,36.0,Female,9.0,13.0,1.0,8.0,Standard,Quarterly,719.77,22.0,0.0
377201.0,23.0,Male,30.0,22.0,1.0,16.0,Premium,Annual,866.04,11.0,0.0
186008.0,54.0,Female,28.0,19.0,7.0,5.0,Premium,Annual,337.0,26.0,1.0
104534.0,59.0,Female,7.0,7.0,10.0,0.0,Premium,Quarterly,428.0,12.0,1.0
86768.0,50.0,Female,19.0,1.0,6.0,28.0,Premium,Quarterly,299.0,15.0,1.0
283811.0,25.0,Female,47.0,18.0,2.0,3.0,Basic,Quarterly,707.31,7.0,0.0
155668.0,29.0,Female,,4.0,2.0,8.0,Standard,Annual,904.0,25.0,1.0
153778.0,33.0,Female,51.0,7.0,6.0,7.0,Basic,Annual,562.0,10.0,1.0
376002.0,39.0,Male,15.0,28.0,2.0,13.0,Standard,Annual,886.05,6.0,0.0
368016.0,31.0,Male,29.0,29.0,0.0,15.0,Basic,Quarterly,642.54,8.0,0.0
343630.0,43.0,Male,51.0,28.0,2.0,20.0,Standard,Quarterly,950.18,24.0,0.0
54070.0,34.0,Female,21.0,23.0,5.0,16.0,Premium,Annual,210.0,27.0,1.0
406931.0,34.0,Male,6.0,15.0,0.0,2.0,Basic,Quarterly,524.72,1.0,0.0
355980.0,48.0,Male,59.0,25.0,0.0,18.0,Basic,Quarterly,992.53,11.0,0.0
432799.0,39.0,Male,4.0,29.0,2.0,3.0,Premium,Quarterly,622.88,2.0,0.0
139098.0,33.0,Female,21.0,21.0,10.0,10.0,Standard,Quarterly,850.0,1.0,1.0
188700.0,38.0,Female,39.0,29.0,6.0,5.0,Standard,Quarterly,213.0,27.0,1.0
252919.0,64.0,Male,13.0,28.0,6.0,18.0,Basic,Quarterly,547.9,14.0,1.0
145511.0,56.0,Male,4.0,24.0,8.0,15.0,Standard,Monthly,613.0,26.0,1.0
141076.0,64.0,Female,59.0,9.0,2.0,3.0,Standard,Monthly,145.0,13.0,1.0
252375.0,55.0,Female,18.0,19.0,1.0,23.0,Standard,Annual,145.33,8.0,1.0
192571.0,29.0,Female,14.0,20.0,4.0,19.0,Premium,Quarterly,192.0,12.0,1.0
248924.0,54.0,Male,10.0,22.0,0.0,7.0,Basic,Annual,165.83,25.0,1.0
